연번,업종명,업소명,소     재     지,면적(㎡)
1,일반음식점,로드킹, 청주시 서원구 1순환로672번길 6  2층 (사창동),198
2,일반음식점,회색집, 청주시 서원구 1순환로694번길 12 (사창동),220
3,일반음식점,문화주택, 청주시 서원구 1순환로672번길 31  1층 (사창동),268
4,일반음식점,모모로, 청주시 서원구 1순환로672번길 25  2층 (사창동),166
5,일반음식점,다사랑치킨호프, 청주시 서원구 신율로53번길 53  1층 (개신동),136
6,일반음식점,뉴욕바닷가재, 청주시 서원구 1순환로 715  1층 (사창동),238
7,일반음식점,위(Oui), 청주시 서원구 내수동로114번길 26 (사창동 (지하1층)),193
8,일반음식점,서래갈매기, 청주시 서원구 내수동로108번길 23  1층 (사창동),199
9,일반음식점,오듀오(O:duo), 청주시 서원구 1순환로672번길 50 (사창동 (2층)),109
10,일반음식점,라면국물편의점포차(충북대점), 청주시 서원구 1순환로704번길 78  2층 (사창동),169
11,일반음식점,용구비어, 청주시 서원구 신율로 49 (개신동 번지  108호),2103
12,일반음식점,대길식당, 청주시 서원구 창신로 34-1 (사창동 (1층)),91
13,일반음식점,장군집, 청주시 서원구 성봉로220번길 156  1동 1층 (개신동),121
14,일반음식점,미소분식, 청주시 서원구 신율로 57 (개신동 (1층)),143
15,일반음식점,설레임, 청주시 서원구 신율로53번길 58 (개신동 (1층)),134
16,일반음식점,옆집 충대점, 청주시 서원구 내수동로108번길 23  2층 (사창동),199
17,일반음식점,뻘건집, 청주시 서원구 내수동로114번길 42  1층 (사창동),147
18,일반음식점,장미맨숀, 청주시 서원구 내수동로114번길 41  1층 (사창동),171
19,일반음식점,오꾸꼬, 청주시 서원구 창직로 17-2 (사창동 (1층)),110
20,일반음식점,코소쿠식당, 청주시 서원구 1순환로674번길 66  1층 (사창동),330
21,일반음식점,중문떡볶이, 청주시 서원구 1순환로672번길 36 (사창동 (1층)),169
22,일반음식점,리빙룸(living room), 청주시 서원구 내수동로108번길 51  지하1층 (사창동),191
23,일반음식점,탭플레이 청주사창사거리점, 청주시 서원구 사직대로144번길 12  외 1필지   B동 1층 (사창동),106
24,일반음식점,24시 기사식당, 청주시 서원구 봉명로150번길 41  1층 (사창동  드림빌),179
25,일반음식점,치킨앤칩스, 청주시 서원구 모충로25번길 9  1층 104 105호 (개신동),465
26,일반음식점,치얼스(cheers), 청주시 서원구 창직로 21  1층 (사창동),133
27,일반음식점,플루메리아, 청주시 서원구 1순환로674번길 18  3층 301호 (사창동),100
28,일반음식점,카레자유, 청주시 서원구 사직대로 211  1층 (사직동),60
29,일반음식점,이자카야청상, 청주시 서원구 내수동로108번길 21  2층 (사창동),107
30,일반음식점,코나(kona), 청주시 서원구 창신로25번길 3  1층 (사창동),75
31,일반음식점,닭발방, 청주시 서원구 내수동로114번길 28 (사창동),101
32,일반음식점,숯불닭발, 청주시 서원구 내수동로108번길 26  2층 (사창동),186
33,일반음식점,순남시래기, 청주시 서원구 사직대로 160  1층 113호 (사창동  사창 하트리움 에덴),2762
34,일반음식점,느낌, 청주시 서원구 1순환로680번길 13-2  2층 (사창동),235
35,일반음식점,오삼구 포차, 청주시 서원구 1순환로672번길 30  5층 (사창동),234
36,일반음식점,김우동, 청주시 서원구 1순환로751번길 29  상가동 1층 103호 (개신동  태암베스트윙 ),127
37,일반음식점,하루, 청주시 서원구 예체로67번길 32  1층 (사창동),122
38,일반음식점,달랑주점, 청주시 서원구 1순환로694번길 4  2층 (사창동),138
39,일반음식점,로스팅 빈, 청주시 서원구 사직대로144번길 35-2  1 2층 (사창동),163
40,일반음식점,자갈치 생선구이 전문점, 청주시 서원구 예체로 147-2  1층 (사창동),125
41,일반음식점,느낌이 좋아, 청주시 서원구 창신로 43  2층 (사창동),385
42,일반음식점,홍스팅, 청주시 서원구 봉명로228번길 11-1  1층 (사창동),109
43,일반음식점,컵오커피(cup o' coffee), 청주시 서원구 사직대로175번길 36  지하층 (사창동),94
